,Stream,Physical Exergy[kW],Chemical Exergy[kW],Chemical Exergy[kJ/kg],Physical Exergy[kJ/kg]
0,1,-9.528108023204756e-11,-39.3583735982953,-0.4327958862435575,-1.0477378964424133e-09
1,2,27594.27351850928,-39.3583735982953,-0.4327958862435575,303434.491083941
2,3,41277.76518796727,-39.35837359829694,-0.4327958862435756,453902.0628498107
3,10,624.1555163032891,84610.56302782173,51384.29700551026,379051.8734263703
4,4,101079.06067146684,336.23471373080486,3.6315766827510183,1091726.537619676
5,5,38388.554618041315,336.23471373080486,3.6315766827510183,414623.99372305005
6,6,22147.56427883592,336.23471373080486,3.6315766827510183,239209.6197394537
7,6p,6979.275370180926,336.23471373080486,3.6315766827510183,75381.19254735782
8,7,2877.379851813235,336.23471373080486,3.6315766827510183,31077.771421390207
9,8,26.64908179873421,34.97033738271337,2.4978812416223835,1903.5058427667293
10,8p,2212.5925779492354,34.97033738271337,2.4978812416223835,158042.32699637394
11,11,5324.079261615573,72.45045383505953,2.4978812416223835,183558.79104327713
12,11p,15900.948397589784,72.45045383505953,2.4978812416223835,548218.5220919172
13,9,12780.295543967814,34.97033738271337,2.4978812416223835,912878.253140558
