,e_PH in kJ/kg,e_CH in kJ/kg,E_tot in MW
1,-1.5133991837501525e-12,0.0,-1.3762769979768454e-13
2,303.43565343663636,0.0,27.594273518510096
3,453.90380159217574,0.0,41.277765188004004
10,379.0518734263703,51384.297005510256,85.23471854408983
4,1087.480182046799,3.995292932885579,101.05543545456274
5,410.3750905334699,3.995292932885579,38.36492940113575
6,234.96005654829412,3.995292932885579,22.123939061908192
6p,71.13101294736445,3.995292932885579,6.955650153259423
7,26.827425128603995,3.995292932885579,2.853754634894586
8,1.903505842909034,2.4978812416223835,0.06161941918343984
8p,158.0423269964189,2.4978812416223835,2.2475629153325776
11,183.5587910432769,2.4978812416223835,5.396529715450274
11p,548.2185220919172,2.4978812416223835,15.9733988514238
9,912.8782531405585,2.4978812416223835,12.815265881350529
